,Group
GMBC10.026_221,1
GMBC10.026_252,1
GMBC10.026_354,1
GMBC10.026_426,1
GMBC10.026_630,1
GMBC10.026_718,1
GMBC10.026_752,1
GMBC10.026_821,1
GMBC10.026_874,1
GMBC10.026_938,1
GMBC10.027_062,1
GMBC10.027_067,1
GMBC10.027_082,1
GMBC10.027_109,1
GMBC10.027_158,1
GMBC10.027_177,1
GMBC10.027_275,1
GMBC10.027_386,1
GMBC10.027_431,1
GMBC10.027_532,1
GMBC10.027_557,1
GMBC10.027_685,1
GMBC10.027_715,1
GMBC10.027_760,1
GMBC10.028_042,1
GMBC10.028_114,1
GMBC10.028_126,1
GMBC10.028_163,1
GMBC10.028_167,1
GMBC10.028_193,1
GMBC10.028_197,1
GMBC10.028_242,1
GMBC10.028_267,1
GMBC10.028_405,1
GMBC10.028_408,1
GMBC10.028_463,1
GMBC10.028_508,1
GMBC10.028_514,1
GMBC10.028_547,1
GMBC10.028_551,1
GMBC10.028_690,1
GMBC10.028_749,1
GMBC10.028_762,1
GMBC10.028_769,1
GMBC10.028_914,1
GMBC10.028_949,1
GMBC10.028_973,1
GMBC10.029_144,1
GMBC10.029_274,1
GMBC10.029_280,1
GMBC10.029_298,1
GMBC10.029_392,1
GMBC10.029_503,1
GMBC10.029_614,1
GMBC10.029_653,1
GMBC10.029_658,1
GMBC10.029_764,1
GMBC10.029_863,1
GMBC10.029_871,1
GMBC10.030_093,1
GMBC10.030_112,1
GMBC10.030_162,1
GMBC10.030_202,1
GMBC10.030_369,1
GMBC10.030_417,1
GMBC10.030_550,1
GMBC10.030_609,1
GMBC10.030_628,1
GMBC10.030_655,1
GMBC10.030_676,1
GMBC10.030_825,1
GMBC10.030_834,1
GMBC10.031_057,1
GMBC10.031_141,1
GMBC10.031_359,1
GMBC10.031_422,1
GMBC10.031_427,1
GMBC10.031_482,1
GMBC10.031_519,1
GMBC10.031_530,1
GMBC10.031_643,1
GMBC10.031_988,1
GMBC10.032_108,1
GMBC10.032_442,1
GMBC10.032_454,1
GMBC10.032_570,1
GMBC10.032_632,1
GMBC10.032_634,1
GMBC10.032_880,1
GMBC10.032_963,1
GMBC10.033_081,1
GMBC10.033_089,1
GMBC10.033_117,1
GMBC10.033_245,1
GMBC10.033_447,1
GMBC10.033_527,1
GMBC10.033_538,1
GMBC10.033_553,1
GMBC10.033_872,1
GMBC10.033_891,1
GMBC10.033_996,1
GMBC10.034_043,1
GMBC10.034_057,1
GMBC10.034_442,1
GMBC10.034_624,1
GMBC10.034_672,1
GMBC10.034_690,1
GMBC10.034_701,1
GMBC10.034_760,1
GMBC10.034_894,1
GMBC10.035_055,1
GMBC10.035_111,1
GMBC10.035_242,1
GMBC10.035_321,1
GMBC10.035_362,1
GMBC10.035_372,1
GMBC10.035_426,1
GMBC10.035_573,1
GMBC10.035_623,1
GMBC10.035_685,1
GMBC10.035_844,1
GMBC10.035_887,1
GMBC10.035_957,1
GMBC10.036_037,1
GMBC10.036_097,1
GMBC10.036_115,1
GMBC10.036_265,1
GMBC10.036_319,1
GMBC10.036_405,1
GMBC10.036_408,1
GMBC10.036_439,1
GMBC10.036_488,1
GMBC10.036_692,1
GMBC10.036_770,1
GMBC10.036_832,1
GMBC10.036_911,1
GMBC10.036_995,1
GMBC10.036_997,1
GMBC10.037_103,1
GMBC10.037_187,1
GMBC10.037_199,1
GMBC10.037_203,1
GMBC10.037_322,1
GMBC10.037_392,1
GMBC10.037_414,1
GMBC10.037_504,1
GMBC10.037_637,1
GMBC10.037_747,1
GMBC10.037_834,1
GMBC10.037_841,1
GMBC10.037_884,1
GMBC10.038_030,1
GMBC10.038_060,1
GMBC10.038_100,1
GMBC10.038_193,1
GMBC10.038_195,1
GMBC10.038_238,1
GMBC10.038_251,1
GMBC10.038_403,1
GMBC10.038_460,1
GMBC10.038_502,1
GMBC10.038_657,1
GMBC10.038_682,1
GMBC10.038_781,1
GMBC10.038_811,1
GMBC10.039_344,1
GMBC10.039_396,1
GMBC10.039_468,1
GMBC10.039_520,1
GMBC10.039_577,1
GMBC10.039_602,1
GMBC10.039_609,1
GMBC10.039_662,1
GMBC10.039_717,1
GMBC10.039_931,1
GMBC10.039_936,1
GMBC10.039_945,1
GMBC10.039_990,1
GMBC10.040_173,1
GMBC10.040_281,1
GMBC10.040_303,1
GMBC10.040_324,1
GMBC10.040_459,1
GMBC10.040_649,1
GMBC10.040_768,1
GMBC10.040_835,1
GMBC10.040_959,1
GMBC10.040_972,1
GMBC10.041_190,1
GMBC10.041_207,1
GMBC10.041_305,1
GMBC10.041_308,1
GMBC10.041_326,1
GMBC10.041_339,1
GMBC10.041_371,1
GMBC10.041_414,1
GMBC10.041_418,1
GMBC10.041_429,1
GMBC10.041_523,1
GMBC10.041_540,1
GMBC10.041_573,1
GMBC10.041_721,1
GMBC10.041_811,1
GMBC10.041_912,1
GMBC10.042_189,1
GMBC10.042_193,1
GMBC10.042_427,1
GMBC10.042_475,1
GMBC10.042_659,1
GMBC10.042_934,1
GMBC10.042_949,1
GMBC10.042_998,1
GMBC10.043_015,1
GMBC10.043_045,1
GMBC10.043_060,1
GMBC10.043_214,1
GMBC10.043_399,1
GMBC10.043_774,1
GMBC10.043_832,1
GMBC10.043_884,1
GMBC10.043_910,1
GMBC10.044_146,1
GMBC10.044_277,1
GMBC10.044_819,1
GMBC10.044_861,1
GMBC10.044_923,1
GMBC10.044_942,1
GMBC10.045_034,1
GMBC10.045_085,1
GMBC10.045_127,1
GMBC10.045_197,1
GMBC10.045_382,1
GMBC10.045_679,1
GMBC10.045_769,1
GMBC10.046_034,1
GMBC10.046_241,1
GMBC10.046_331,1
GMBC10.046_332,1
GMBC10.046_433,1
GMBC10.046_651,1
GMBC10.046_870,1
GMBC10.047_020,1
GMBC10.047_216,1
GMBC10.047_292,1
GMBC10.047_624,1
GMBC10.047_688,1
GMBC10.047_883,1
GMBC10.048_347,1
GMBC10.048_422,1
GMBC10.048_742,1
GMBC10.049_302,1
GMBC10.049_867,1
GMBC10.050_018,1
GMBC10.050_102,1
GMBC10.050_409,1
GMBC10.050_429,1
GMBC10.050_621,1
GMBC10.051_085,1
GMBC10.051_086,1
GMBC10.051_335,1
GMBC10.051_340,1
GMBC10.051_374,1
GMBC10.051_411,1
GMBC10.051_544,1
GMBC10.051_579,1
GMBC10.051_591,1
GMBC10.051_791,1
GMBC10.051_811,1
GMBC10.052_589,1
GMBC10.052_856,1
GMBC10.053_038,1
GMBC10.053_408,1
GMBC10.053_602,1
GMBC10.053_748,1
GMBC10.053_982,1
GMBC10.054_277,1
GMBC10.054_458,1
GMBC10.054_816,1
GMBC10.054_907,1
GMBC10.054_949,1
GMBC10.055_027,1
GMBC10.055_154,1
GMBC10.055_238,1
GMBC10.055_412,1
GMBC10.055_659,1
GMBC10.056_075,1
GMBC10.056_078,1
GMBC10.056_432,1
GMBC10.056_593,1
GMBC10.056_602,1
GMBC10.056_795,1
GMBC10.057_139,1
GMBC10.057_457,1
GMBC10.057_961,1
GMBC10.058_172,1
GMBC10.058_444,1
GMBC10.058_661,1
GMBC10.058_768,1
GMBC10.059_136,1
GMBC10.059_477,1
GMBC10.059_525,1
GMBC10.059_572,1
GMBC10.059_595,1
GMBC10.059_820,1
GMBC10.059_972,1
GMBC10.060_084,1
GMBC10.060_473,1
GMBC10.060_588,1
GMBC10.060_892,1
GMBC10.060_916,1
GMBC10.061_025,1
GMBC10.061_230,1
GMBC10.061_514,1
GMBC10.061_560,1
GMBC10.061_910,1
GMBC10.062_068,1
GMBC10.062_087,1
GMBC10.062_441,1
GMBC10.062_728,1
GMBC10.062_780,1
GMBC10.062_877,1
GMBC10.063_768,1
GMBC10.063_809,1
GMBC10.064_161,1
GMBC10.064_666,1
GMBC10.064_808,1
GMBC10.065_184,1
GMBC10.065_432,1
GMBC10.065_525,1
GMBC10.065_642,1
GMBC10.065_765,1
GMBC10.066_705,1
GMBC10.066_940,1
GMBC10.067_597,1
GMBC10.067_623,1
GMBC10.068_332,1
GMBC10.068_779,1
GMBC10.069_200,1
GMBC10.069_729,1
GMBC10.069_903,1
GMBC10.070_294,1
GMBC10.070_532,1
GMBC10.070_811,1
GMBC10.071_040,1
GMBC10.071_671,1
GMBC10.071_785,1
GMBC10.071_848,1
GMBC10.072_263,1
GMBC10.072_761,1
GMBC10.073_087,1
GMBC10.073_580,1
GMBC10.074_219,1
GMBC10.074_558,1
