sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/recluster_90.bin.1.fa	1021_Y	0.9985670825040356	0.9931878873126434	5504155	5496268	5533966	0.9090909090909091	0.39215686274509803	22	20	51
gsa	S3N2Bin_1000/output_recluster_bins/recluster_9.bin.5.fa	1220_CK	0.9875209004122896	0.9930501184619096	4039394	3988986	4016903	0.9815950920245399	0.9090909090909091	163	160	176
gsa	S3N2Bin_1000/output_recluster_bins/recluster_164.bin.6.fa	1139_CH	1.0	0.9930340097053372	3824455	3824455	3851283	1.0	0.5	17	17	34
gsa	S3N2Bin_1000/output_recluster_bins/recluster_131.bin.2.fa	1286_W	0.9990242595733695	0.9929412647921044	4845551	4840823	4875236	0.8888888888888888	0.43243243243243246	18	16	37
gsa	S3N2Bin_1000/output_recluster_bins/recluster_60.bin.2.fa	1036761	0.9849444338247803	0.9926786060566886	3991547	3931452	3960448	0.7777777777777778	0.8333333333333334	45	35	42
gsa	S3N2Bin_1000/output_recluster_bins/recluster_75.bin.0.fa	1048933	0.997703194539184	0.9926586065439383	4612058	4601465	4635496	0.75	0.4411764705882353	20	15	34
gsa	S3N2Bin_1000/output_recluster_bins/recluster_119.bin.0.fa	1021_F	1.0	0.9926497971304891	4973781	4973781	5010610	1.0	0.7115384615384616	37	37	52
gsa	S3N2Bin_1000/output_recluster_bins/recluster_105.bin.2.fa	1286_CC	0.9994155824884772	0.9925927437456638	4380430	4377870	4410540	0.9878048780487805	0.81	82	81	100
gsa	S3N2Bin_1000/output_recluster_bins/recluster_103.bin.2.fa	1036581	0.9936790373613229	0.9925194380236653	3956043	3931037	3960665	0.9680851063829787	0.8272727272727273	94	91	110
gsa	S3N2Bin_1000/output_recluster_bins/recluster_336.bin.0.fa	1285_CC	1.0	0.9924065315080671	2857714	2857714	2879580	1.0	0.8947368421052632	68	68	76
gsa	S3N2Bin_1000/output_recluster_bins/recluster_39.bin.8.fa	1220_M	0.9943958116966876	0.9923929794951003	5260173	5230694	5270789	0.9871794871794872	0.8850574712643678	78	77	87
gsa	S3N2Bin_1000/output_recluster_bins/recluster_9.bin.3.fa	1287_CK	1.0	0.9922497435597128	3609109	3609109	3637299	1.0	0.851063829787234	40	40	47
gsa	S3N2Bin_1000/output_recluster_bins/bin.31.fa	1220_BU	0.9989733539852401	0.9921919471851263	9020636	9011375	9082290	0.9809523809523809	0.544973544973545	105	103	189
gsa	S3N2Bin_1000/output_recluster_bins/recluster_19.bin.2.fa	1036611	1.0	0.9920127886038793	2626212	2626212	2647357	1.0	0.912	114	114	125
gsa	S3N2Bin_1000/output_recluster_bins/recluster_900.bin.1.fa	1287_AG	0.9996728000365004	0.9919920274712808	3835575	3834320	3865273	0.9090909090909091	0.4166666666666667	11	10	24
gsa	S3N2Bin_1000/output_recluster_bins/recluster_32.bin.4.fa	1036596	0.9940056723602657	0.9919113456942505	5022248	4992143	5032852	0.9019607843137255	0.7796610169491526	51	46	59
gsa	S3N2Bin_1000/output_recluster_bins/recluster_33.bin.1.fa	1285_O	0.9990376489929691	0.9917763013233558	5643471	5638040	5684790	0.967741935483871	0.6122448979591837	62	60	98
gsa	S3N2Bin_1000/output_recluster_bins/recluster_34.bin.0.fa	1287_AA	0.9916336090169402	0.9917204159882753	6466229	6412130	6465663	0.9603960396039604	0.7185185185185186	101	97	135
gsa	S3N2Bin_1000/output_recluster_bins/recluster_185.bin.3.fa	1021_BD	0.9817185156062948	0.991394144974939	6277499	6162737	6216233	0.9454545454545454	0.48598130841121495	55	52	107
gsa	S3N2Bin_1000/output_recluster_bins/recluster_191.bin.2.fa	1049038	0.9969546190423356	0.991383671951673	3262646	3252710	3280980	0.8846153846153846	0.6388888888888888	26	23	36
gsa	S3N2Bin_1000/output_recluster_bins/recluster_139.bin.2.fa	1049002	0.9997037840612456	0.9913614845195851	4878198	4876753	4919248	0.9859154929577465	0.813953488372093	71	70	86
gsa	S3N2Bin_1000/output_recluster_bins/recluster_21.bin.0.fa	1030833	0.9978429584377152	0.9913336957407666	5460720	5448941	5496576	0.9879518072289156	0.8541666666666666	83	82	96
gsa	S3N2Bin_1000/output_recluster_bins/bin.0.fa	1030824	1.0	0.9910718888651883	2095456	2095456	2114333	1.0	0.9038461538461539	94	94	104
gsa	S3N2Bin_1000/output_recluster_bins/recluster_77.bin.4.fa	1285_Y	1.0	0.9910595490451277	4922125	4922125	4966528	1.0	0.527027027027027	39	39	74
gsa	S3N2Bin_1000/output_recluster_bins/recluster_15.bin.3.fa	1030704	0.99954446259937	0.9907323553275966	3071098	3069699	3098414	0.9565217391304348	0.7096774193548387	23	22	31
gsa	S3N2Bin_1000/output_recluster_bins/recluster_141.bin.0.fa	1139_G	0.9995129467549043	0.9907197785925266	6161544	6158543	6216231	0.9411764705882353	0.4050632911392405	34	32	79
gsa	S3N2Bin_1000/output_recluster_bins/recluster_196.bin.0.fa	1048780	1.0	0.990719282895403	8159352	8159352	8235786	1.0	0.7058823529411765	72	72	102
gsa	S3N2Bin_1000/output_recluster_bins/bin.204.fa	1036677	0.9815340208870404	0.9905078588070982	3225445	3165884	3196223	0.9642857142857143	0.6923076923076923	28	27	39
gsa	S3N2Bin_1000/output_recluster_bins/recluster_58.bin.1.fa	1036779	0.9927288673853796	0.9904526956681606	5329156	5290407	5341403	0.9518072289156626	0.9404761904761905	83	79	84
gsa	S3N2Bin_1000/output_recluster_bins/recluster_68.bin.0.fa	1049068	0.9978891053477308	0.9901982542929106	3563418	3555896	3591095	0.8823529411764706	0.7894736842105263	17	15	19
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.4.fa	1021_L	0.9660401507183363	0.989965487581406	5370813	5188421	5241012	0.8727272727272727	0.5853658536585366	55	48	82
gsa	S3N2Bin_1000/output_recluster_bins/recluster_45.bin.4.fa	1048906	0.9602747258694782	0.9897569104315954	4619150	4435653	4481558	0.9285714285714286	0.8125	84	78	96
gsa	S3N2Bin_1000/output_recluster_bins/recluster_116.bin.2.fa	1286_K	1.0	0.9896870515523939	3766933	3766933	3806186	1.0	0.3958333333333333	19	19	48
gsa	S3N2Bin_1000/output_recluster_bins/recluster_24.bin.1.fa	1053043	0.9991420139866729	0.9896130339504249	4797281	4793165	4843474	0.9824561403508771	0.8888888888888888	57	56	63
gsa	S3N2Bin_1000/output_recluster_bins/recluster_7.bin.2.fa	1048981	0.5377984146990052	0.9895722491173966	7900834	4249056	4293831	0.2376237623762376	0.631578947368421	101	24	38
gsa	S3N2Bin_1000/output_recluster_bins/bin.236.fa	1035945	1.0	0.989510868242124	2804538	2804538	2834267	1.0	0.8796296296296297	95	95	108
gsa	S3N2Bin_1000/output_recluster_bins/bin.213.fa	1036587	0.9952229234517325	0.9893181952736828	3928972	3910203	3952422	0.9555555555555556	0.8269230769230769	45	43	52
gsa	S3N2Bin_1000/output_recluster_bins/bin.247.fa	1036671	0.9958704494745015	0.9892093999450524	2646535	2635606	2664356	0.9772727272727273	0.8269230769230769	88	86	104
