sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	S3N2Bin_1000/output_recluster_bins/recluster_185.bin.1.fa	1021_BA	0.9711411822144043	0.9865549657527672	4497932	4368127	4427657	0.868421052631579	0.5789473684210527	38	33	57
gsa	S3N2Bin_1000/output_recluster_bins/recluster_16.bin.3.fa	1286_BT	1.0	0.986414724701596	3160021	3160021	3203542	1.0	0.7142857142857143	10	10	14
gsa	S3N2Bin_1000/output_recluster_bins/bin.67.fa	evo_1048972.019	1.0	0.9863913210246691	2972798	2972798	3013812	1.0	0.9391304347826087	108	108	115
gsa	S3N2Bin_1000/output_recluster_bins/recluster_6.bin.2.fa	1030797	1.0	0.9857081346657933	4040600	4040600	4099185	1.0	0.8571428571428571	54	54	63
gsa	S3N2Bin_1000/output_recluster_bins/recluster_61.bin.2.fa	1036602	0.9943201276736693	0.9854355893984555	2490725	2476578	2513181	0.8571428571428571	0.8571428571428571	35	30	35
gsa	S3N2Bin_1000/output_recluster_bins/recluster_2.bin.2.fa	1048903	0.9960125815413612	0.9853765106558319	5310955	5289778	5368281	0.8285714285714286	0.8529411764705882	35	29	34
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.4.fa	1030890	0.9903931227038589	0.9852775060494522	3338754	3306679	3356089	0.9027777777777778	0.8441558441558441	72	65	77
gsa	S3N2Bin_1000/output_recluster_bins/recluster_4.bin.0.fa	1053019	0.9935891361662786	0.9852477494401779	7587745	7539101	7651985	0.9701492537313433	0.7738095238095238	67	65	84
gsa	S3N2Bin_1000/output_recluster_bins/recluster_116.bin.1.fa	1036569	0.9915628727766214	0.9849556248500839	3520037	3490338	3543650	0.85	0.6071428571428571	20	17	28
gsa	S3N2Bin_1000/output_recluster_bins/recluster_26.bin.2.fa	1052986	0.9972003898929149	0.9849017199863935	4872107	4858467	4932946	0.9615384615384616	0.9408602150537635	182	175	186
gsa	S3N2Bin_1000/output_recluster_bins/recluster_48.bin.2.fa	1286_BO	0.99841151834656	0.9846911418331384	4960712	4952832	5029833	0.9069767441860465	0.6	43	39	65
gsa	S3N2Bin_1000/output_recluster_bins/bin.140.fa	1036584	1.0	0.9845320216345513	3065560	3065560	3113723	1.0	0.9545454545454546	63	63	66
gsa	S3N2Bin_1000/output_recluster_bins/recluster_65.bin.1.fa	1286_N	0.9996691133846598	0.9844990312936328	3545021	3543848	3599646	0.9473684210526315	0.782608695652174	19	18	23
gsa	S3N2Bin_1000/output_recluster_bins/recluster_106.bin.0.fa	1048987	0.9889142506794963	0.9843791150108794	3072864	3038799	3087021	0.7428571428571429	0.6842105263157895	35	26	38
gsa	S3N2Bin_1000/output_recluster_bins/recluster_164.bin.0.fa	1049038	0.9995296663200833	0.9838837786271175	3229622	3228103	3280980	0.9545454545454546	0.5833333333333334	22	21	36
gsa	S3N2Bin_1000/output_recluster_bins/recluster_53.bin.3.fa	evo_1030719.021	0.9527320637553122	0.9837126889667701	4912971	4680745	4758244	0.8125	0.8125	64	52	64
gsa	S3N2Bin_1000/output_recluster_bins/recluster_100.bin.1.fa	1220_T	0.5005584002212409	0.9836396514096735	11419229	5715991	5811062	0.42857142857142855	0.6	49	21	35
gsa	S3N2Bin_1000/output_recluster_bins/recluster_53.bin.4.fa	1030719	0.9808250826135655	0.9832821146298121	4387294	4303168	4376331	0.8833333333333333	0.803030303030303	60	53	66
gsa	S3N2Bin_1000/output_recluster_bins/recluster_20.bin.2.fa	1287_BF	0.9991267135478054	0.9830723433218383	5056760	5052344	5139341	0.9591836734693877	0.7014925373134329	49	47	67
gsa	S3N2Bin_1000/output_recluster_bins/bin.204.fa	1048951	0.997706851944088	0.982357082902589	4294533	4284685	4361637	0.968421052631579	0.7931034482758621	95	92	116
gsa	S3N2Bin_1000/output_recluster_bins/recluster_52.bin.3.fa	1285_AI	0.9993494991044244	0.9815560291882917	5057641	5054351	5149325	0.9701492537313433	0.6435643564356436	67	65	101
gsa	S3N2Bin_1000/output_recluster_bins/recluster_16.bin.14.fa	1139_U	0.8824913573860451	0.9809561927204292	7021024	6195993	6316279	0.5813953488372093	0.6578947368421053	86	50	76
gsa	S3N2Bin_1000/output_recluster_bins/recluster_75.bin.3.fa	1139_AK	0.9994443249855236	0.9806397427569417	4362262	4359838	4445912	0.9777777777777777	0.8148148148148148	45	44	54
gsa	S3N2Bin_1000/output_recluster_bins/recluster_2.bin.0.fa	1286_CN	0.9995112821748618	0.9802717632483078	4884209	4881822	4980070	0.9705882352941176	0.673469387755102	68	66	98
gsa	S3N2Bin_1000/output_recluster_bins/recluster_159.bin.1.fa	1021_Q	0.9940999476152237	0.9801079095126262	5358427	5326812	5434924	0.9333333333333333	0.5957446808510638	30	28	47
gsa	S3N2Bin_1000/output_recluster_bins/bin.142.fa	1220_AK	0.999536039235273	0.979694008453371	4478827	4476749	4569538	0.9661016949152542	0.6333333333333333	59	57	90
gsa	S3N2Bin_1000/output_recluster_bins/recluster_63.bin.0.fa	1048933	0.9978631450418044	0.9796914936395156	4551081	4541356	4635496	0.7916666666666666	0.5588235294117647	24	19	34
gsa	S3N2Bin_1000/output_recluster_bins/recluster_16.bin.4.fa	1021_BE	0.9126660905930557	0.9792800537837887	5565261	5079225	5186693	0.7142857142857143	0.916030534351145	168	120	131
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.3.fa	1030830	0.9963301422550075	0.9792074453354102	4815718	4798045	4899927	0.9611650485436893	0.7615384615384615	103	99	130
gsa	S3N2Bin_1000/output_recluster_bins/bin.21.fa	1036605	0.996477137010917	0.9789748433537656	4646221	4629853	4729287	0.8958333333333334	0.8958333333333334	48	43	48
gsa	S3N2Bin_1000/output_recluster_bins/recluster_108.bin.2.fa	1139_BZ	0.999729598681548	0.9787809501306701	4988881	4987532	5095657	0.9714285714285714	0.6938775510204082	35	34	49
gsa	S3N2Bin_1000/output_recluster_bins/recluster_14.bin.15.fa	evo_1220_W.027	0.9713988695152568	0.9786920860883862	4793342	4656247	4757622	0.8695652173913043	0.5882352941176471	23	20	34
gsa	S3N2Bin_1000/output_recluster_bins/recluster_53.bin.0.fa	evo_1030719.036	0.9983314814754976	0.9786176678739437	4332586	4325357	4419864	0.9090909090909091	0.819672131147541	55	50	61
gsa	S3N2Bin_1000/output_recluster_bins/bin.84.fa	1035972	0.9948099754950208	0.9781998229556246	2321569	2309520	2360990	0.9369369369369369	0.9369369369369369	111	104	111
gsa	S3N2Bin_1000/output_recluster_bins/recluster_111.bin.5.fa	evo_1052962.028	0.8532788623002345	0.977840954666897	2971610	2535612	2593072	0.6120689655172413	0.8160919540229885	116	71	87
gsa	S3N2Bin_1000/output_recluster_bins/recluster_159.bin.9.fa	1139_M	0.9994262907282979	0.9778321220886619	4890979	4888173	4998990	0.9333333333333333	0.6363636363636364	30	28	44
gsa	S3N2Bin_1000/output_recluster_bins/recluster_53.bin.1.fa	evo_1030719.037	0.9827796612918194	0.9776703188558814	4439692	4363239	4462894	0.8214285714285714	0.7540983606557377	56	46	61
gsa	S3N2Bin_1000/output_recluster_bins/recluster_235.bin.1.fa	1139_V	0.501433405412187	0.9765500613525362	8321442	4172649	4272847	0.5217391304347826	0.5	23	12	24
gsa	S3N2Bin_1000/output_recluster_bins/bin.168.fa	1030767		0.9759249216466528	1391010	1385667	1419850		0.7575757575757576	28	25	33
gsa	S3N2Bin_1000/output_recluster_bins/recluster_69.bin.1.fa	1053052	0.9985985440115507	0.975016774440187	4954847	4947903	5074685	0.9761904761904762	0.8232931726907631	210	205	249
gsa	S3N2Bin_1000/output_recluster_bins/recluster_62.bin.0.fa	1048954	0.9997704286318879	0.974485895620034	4425639	4424623	4540469	0.9859154929577465	0.813953488372093	71	70	86
gsa	S3N2Bin_1000/output_recluster_bins/recluster_20.bin.1.fa	1286_BH	0.9978180331865546	0.9736334916251068	5402007	5390220	5536190	0.9142857142857143	0.7032967032967034	70	64	91
gsa	S3N2Bin_1000/output_recluster_bins/recluster_226.bin.0.fa	1287_BV	0.9616280469468111	0.9735881435929237	4702002	4521577	4644240	0.6326530612244898	0.8378378378378378	49	31	37
gsa	S3N2Bin_1000/output_recluster_bins/recluster_53.bin.6.fa	evo_1030719.013	0.9985885844969186	0.9724694582923554	4704497	4697857	4830853	0.9777777777777777	0.822429906542056	90	88	107
gsa	S3N2Bin_1000/output_recluster_bins/bin.152.fa	1030956	0.9970234749860472	0.971600941555233	4092356	4080175	4199435	0.9444444444444444	0.85	108	102	120
gsa	S3N2Bin_1000/output_recluster_bins/recluster_17.bin.1.fa	1286_AC	0.9963326219484876	0.9712084596543202	5356688	5337043	5495260	0.9854439592430859	0.838909541511772	687	677	807
